system,question_idx,question,question_type,prediction,gold_answer,llm_score,exact_match,f1_score,combined_score,retrieved_docs,correct_doc,failure_type,is_error
None_gpt4omini,11,In what year was Hakeem Olajuwon drafted first overall in the NBA Draft?,factoid,Hakeem Olajuwon was drafted first overall in the NBA Draft in 1984.,1984,5,0,0.1666666666666666,0.5833333333333333,N/A,hakeem_olajuwon_summary.txt,No Retrieval,True
None_gpt4omini,12,At what age was Joel Embiid introduced to basketball?,factoid,Joel Embiid was introduced to basketball at the age of 15.,15,5,0,0.1666666666666666,0.5833333333333333,N/A,joel_embiid_summary.txt,No Retrieval,True
None_gpt4omini,13,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,factoid,Dikembe Mutombo won the NBA Defensive Player of the Year award four times.,4,5,0,0.0,0.5,N/A,dikembe_mutombo_summary.txt,No Retrieval,True
None_gpt4omini,14,In what year did Pascal Siakam win the NBA Championship?,factoid,Pascal Siakam won the NBA Championship in 2019 with the Toronto Raptors.,2019,5,0,0.1666666666666666,0.5833333333333333,N/A,pascal_siakam_summary.txt,No Retrieval,True
None_gpt4omini,15,What role has Luol Deng played in South Sudan basketball development?,factoid,"Luol Deng has played a significant role in the development of basketball in South Sudan. As a prominent NBA player and a South Sudanese native, he has used his platform to promote the sport in his home country. Deng has been involved in various initiatives, including:

1. **Founding the Luol Deng Foundation**: This organization focuses on providing opportunities for youth in South Sudan, including sports programs that promote basketball.

2. **Advocacy and Awareness**: Deng has raised awareness about the challenges facing South Sudan, using basketball as a means to inspire hope and unity among the youth.

3. **Support for National Teams**: He has been involved in supporting the South Sudan national basketball team, helping to elevate its profile on the international stage.

4. **Coaching and Training**: Deng has participated in coaching clinics and training camps, sharing his knowledge and experience with young players and aspiring coaches in South Sudan.

Overall, Luol Deng's contributions have been instrumental in fostering a basketball culture",Leadership in developing basketball programs and guiding the national team,5,0,0.1061946902654867,0.5530973451327433,N/A,luol_deng_south_sudan_summary.txt,No Retrieval,True
None_gpt4omini,16,Which country is Gab Gre Lasme originally from?,factoid,Gab Gre Lasme is originally from Gabon.,Gabon,5,0,0.25,0.625,N/A,gab_gre_lasme_summary.txt,No Retrieval,True
None_gpt4omini,17,How many times has Giannis Antetokounmpo won the NBA MVP award?,factoid,"Giannis Antetokounmpo has won the NBA MVP award twice, in 2019 and 2020.",2,5,0,0.0,0.5,N/A,giannis_antetokounmpo_summary.txt,No Retrieval,True
None_gpt4omini,18,In what year did Serge Ibaka win the NBA Championship?,factoid,Serge Ibaka won the NBA Championship in 2019 with the Toronto Raptors.,2019,5,0,0.1666666666666666,0.5833333333333333,N/A,serge_ibaka_summary.txt,No Retrieval,True
None_gpt4omini,19,Which WNBA player from Nigeria has won the WNBA MVP award?,factoid,The WNBA player from Nigeria who has won the WNBA MVP award is Elizabeth Williams. She won the award in 2016 while playing for the Los Angeles Sparks.,Nneka Ogwumike,1,0,0.0,0.1,N/A,top_african_female_players_summary.txt,No Retrieval,True
None_gpt4omini,20,What age groups do FIBA Africa's youth championships target?,factoid,"FIBA Africa's youth championships target various age groups, specifically:

1. U16 (Under 16)
2. U18 (Under 18)
3. U20 (Under 20)

These tournaments are designed to promote basketball development among young players across the continent.",U16 and U18,4,0,0.1111111111111111,0.4555555555555556,N/A,fiba_africa_youth_development.txt,No Retrieval,True
None_gpt4omini,21,What is the primary purpose of the proposed African development league?,factoid,"The primary purpose of the proposed African Development League is to enhance the level of basketball across the continent by providing a structured platform for talent development, fostering local talent, improving the competitiveness of African teams, and increasing the visibility of African basketball on the global stage. It aims to create a sustainable ecosystem for the sport, promoting grassroots initiatives and professional opportunities for players, coaches, and officials.",To strengthen BAL and create a feeder system for franchises,4,0,0.1694915254237288,0.4847457627118644,N/A,nba_fiba_african_dev_league.txt,No Retrieval,True
None_gpt4omini,22,Which organization oversees the Nigerian Premier League?,factoid,"The Nigerian Premier League is overseen by the Nigeria Professional Football League (NPFL) board, which operates under the Nigeria Football Federation (NFF).",Nigerian Basketball Federation (NBBF),1,0,0.1904761904761904,0.1952380952380952,N/A,nigerian_premier_league_summary.txt,No Retrieval,True
None_gpt4omini,23,Which organization organizes the Women's Basketball League Africa?,factoid,The Women's Basketball League Africa is organized by the African Basketball Confederation (FIBA Africa).,FIBA Africa,4,0,0.1428571428571428,0.4714285714285714,N/A,womens_basketball_league_africa.txt,No Retrieval,True
None_gpt4omini,24,In what year was South Africa's Basketball National League established?,factoid,South Africa's Basketball National League was established in 1993.,2013,1,0,0.0,0.1,N/A,basketball_national_league_summary.txt,No Retrieval,True
None_gpt4omini,25,Which FIBA Africa zone does the Youzou Elite Basketball League operate in?,factoid,The Youzou Elite Basketball League operates in the FIBA Africa Zone 1.,Zone 4,1,0,0.1538461538461538,0.1769230769230769,N/A,youzou_elite_basketball_summary.txt,No Retrieval,True
None_gpt4omini,26,Where were the 2025 BAL Playoffs and Finals held?,factoid,"As of my last update in October 2023, the specific location for the 2025 Basketball Africa League (BAL) Playoffs and Finals had not been announced. For the most current information, please check the official BAL website or recent news updates.","SunBet Arena in Pretoria, South Africa",2,0,0.0952380952380952,0.24761904761904763,N/A,bal_partners_playoffs_finals_summary.txt,No Retrieval,True
None_gpt4omini,27,How many youth competition categories does FIBA Africa organize?,factoid,"FIBA Africa organizes youth competitions in three main categories: U16, U18, and U19. These competitions are designed to promote basketball development among young players across the continent.",4,2,0,0.0,0.2,N/A,fiba_africa_youth_competitions_summary.txt,No Retrieval,True
None_gpt4omini,28,Why was the 5th Afro Varsity 3x3 Basketball Challenge postponed?,factoid,"The 5th Afro Varsity 3x3 Basketball Challenge was postponed due to logistical challenges and the need for better preparation to ensure a successful event. Specific details regarding the reasons for the postponement may vary, but such decisions are often made to enhance the overall experience for participants and organizers.",Failed to meet the quorum of eight countries required,2,0,0.0816326530612245,0.24081632653061225,N/A,afro_varsity_3x3_challenge_summary.txt,No Retrieval,True
None_gpt4omini,29,Which NCAA Division I school did Jana El Alfy enroll at?,factoid,Jana El Alfy enrolled at the University of Kentucky.,UConn,1,0,0.0,0.1,N/A,nba_academy_bal_us_college_summary.txt,No Retrieval,True
None_gpt4omini,30,How many sub-zones does FIBA Africa organize its national federations into?,factoid,FIBA Africa organizes its national federations into five sub-zones.,7,1,0,0.0,0.1,N/A,fiba_africa_sub_zones_summary.txt,No Retrieval,True
None_gpt4omini,31,In what year did 3x3 basketball become an official discipline of the African Games?,factoid,3x3 basketball became an official discipline of the African Games in 2019.,2019,5,0,0.1538461538461538,0.5769230769230769,N/A,african_games_3x3_basketball_summary.txt,No Retrieval,True
None_gpt4omini,32,In what year did Giants of Africa begin hosting basketball camps?,factoid,Giants of Africa began hosting basketball camps in 2003.,2003,5,0,0.1999999999999999,0.6,N/A,giants_of_africa_camps_summary.txt,No Retrieval,True
None_gpt4omini,33,How many countries and territories can access BAL broadcasts?,factoid,"As of October 2023, the Basketball Africa League (BAL) broadcasts are accessible in 215 countries and territories worldwide.",214,2,0,0.0,0.2,N/A,bal_global_investment_summary.txt,No Retrieval,True
None_gpt4omini,34,Which organization established Club Rafiki in Kigali in 2022?,factoid,Club Rafiki in Kigali was established by the Basketball Africa League (BAL) in 2022.,Giants of Africa,2,0,0.125,0.2625,N/A,basketball_africa_infrastructure_summary.txt,No Retrieval,True
None_gpt4omini,35,When is the Giants of Africa Festival scheduled to take place in Kigali in 2025?,factoid,"The Giants of Africa Festival in Kigali is scheduled to take place from August 7 to August 10, 2025.","July 25 to August 2, 2025",1,0,0.2608695652173913,0.23043478260869565,N/A,giants_of_africa_2025_kigali_summary.txt,No Retrieval,True
None_gpt4omini,36,How many national titles has Petro de Luanda won?,factoid,"As of October 2023, Petro de Luanda has won the Angolan national basketball championship title 17 times.",18,2,0,0.0,0.2,N/A,top_10_african_basketball_clubs_summary.txt,No Retrieval,True
None_gpt4omini,37,What percentage of LGBT individuals witnessed homophobia in sport according to studies mentioned?,factoid,"Studies have indicated that a significant percentage of LGBT individuals have witnessed homophobia in sports, with reports suggesting that around 80% of LGBT athletes have experienced or witnessed homophobic behavior in sporting environments. However, specific percentages may vary depending on the study and region.",80%,4,0,0.0526315789473684,0.4263157894736842,N/A,sports_limitations_addressing_sdgs_summary.txt,No Retrieval,True
None_gpt4omini,38,What standard should websites comply with for digital inclusion of people with disabilities?,factoid,"Websites should comply with the Web Content Accessibility Guidelines (WCAG), which are developed by the World Wide Web Consortium (W3C). These guidelines provide a framework to ensure that web content is accessible to people with disabilities. The WCAG outlines principles of accessibility, including perceivable, operable, understandable, and robust content. Compliance with these guidelines helps ensure that individuals with disabilities can access and navigate websites effectively.",WCAG 2.1,4,0,0.0392156862745097,0.41960784313725485,N/A,disability_barriers_in_sports_summary.txt,No Retrieval,True
None_gpt4omini,39,How many basketball courts does NBA Africa aim to construct across Africa within the next decade?,factoid,NBA Africa aims to construct 100 basketball courts across Africa within the next decade.,"1,000",1,0,0.0,0.1,N/A,nba_africa_opportunity_international_summary.txt,No Retrieval,True
None_gpt4omini,40,Which former US President joined BAL as a strategic partner and investor?,factoid,Former US President Barack Obama joined the Basketball Africa League (BAL) as a strategic partner and investor.,Barack Obama,5,0,0.2105263157894736,0.6052631578947368,N/A,investing_in_bal_private_investment_summary.txt,No Retrieval,True
None_gpt4omini,41,In which years will BAL continue to stage Playoffs and Finals in Kigali according to the multi-year extension?,factoid,"According to the multi-year extension, the Basketball Africa League (BAL) will continue to stage Playoffs and Finals in Kigali through 2025.","2024, 2026, and 2028",2,0,0.0869565217391304,0.2434782608695652,N/A,bal_rdb_multi_year_extension_summary.txt,No Retrieval,True
None_gpt4omini,42,What is the seating capacity of Kigali Arena?,factoid,"The Kigali Arena has a seating capacity of approximately 10,000 spectators.","10,000",5,0,0.1666666666666666,0.5833333333333333,N/A,africas_flashy_basketball_arenas_summary.txt,No Retrieval,True
None_gpt4omini,43,In what year was basketball introduced to Rwanda by missionaries?,factoid,Basketball was introduced to Rwanda by missionaries in 1932.,1930s,4,0,0.0,0.4,N/A,basketball_africa_societal_impact_summary.txt,No Retrieval,True
None_gpt4omini,44,What percentage of young players cite fun as their main reason for playing basketball?,factoid,"As of my last update in October 2023, specific statistics on the percentage of young players citing fun as their main reason for playing basketball can vary by region and study. However, it is commonly reported that a significant majority of young players, often around 70-80%, indicate that fun is a primary motivation for participating in the sport. For precise figures, it would be best to refer to recent surveys or studies conducted in specific regions or organizations focused on youth sports.",74%,3,0,0.0,0.3,N/A,youth_development_basketball_summary.txt,No Retrieval,True
None_gpt4omini,45,"On what date was the first new basketball court unveiled at Highland School in Nyamata, Rwanda?",factoid,"The first new basketball court at Highland School in Nyamata, Rwanda, was unveiled on November 1, 2022.","May 19, 2025",1,0,0.0,0.1,N/A,nba_africa_opportunity_courts_summary.txt,No Retrieval,True
None_gpt4omini,46,What is the duration of ESPN Africa's broadcast agreement with FIBA?,factoid,"ESPN Africa's broadcast agreement with FIBA is set to last for a duration of five years, covering various FIBA events.",2025-2029,4,0,0.0,0.4,N/A,espn_africa_fiba_broadcast_deal_summary.txt,No Retrieval,True
None_gpt4omini,47,By what percentage did NBA Africa's social media followers grow year-over-year?,factoid,"As of October 2023, NBA Africa reported a year-over-year growth of 50% in its social media followers.",50%,5,0,0.1176470588235294,0.5588235294117647,N/A,basketball_influence_africa_summary.txt,No Retrieval,True
None_gpt4omini,48,Which organization partnered with BAL to advance education and inclusion in Africa?,factoid,"The Basketball Africa League (BAL) partnered with the United Nations Educational, Scientific and Cultural Organization (UNESCO) to advance education and inclusion in Africa.",Agence Française de Développement (AFD),2,0,0.0,0.2,N/A,bal_afd_education_inclusion_summary.txt,No Retrieval,True
None_gpt4omini,49,What was BAL's estimated valuation in 2021?,factoid,The Basketball Africa League (BAL) was estimated to have a valuation of around $1 billion in 2021.,$1 billion,5,0,0.2105263157894736,0.6052631578947368,N/A,bal_africa_sports_economy_summary.txt,No Retrieval,True
None_gpt4omini,50,On what date were BAL's gender equality initiatives announced?,factoid,"The Basketball Africa League (BAL) announced its gender equality initiatives on March 8, 2021, coinciding with International Women's Day.","March 8, 2021",5,0,0.1818181818181818,0.5909090909090909,N/A,bal_gender_equality_initiatives_summary.txt,No Retrieval,True
None_gpt4omini,51,Which Egyptian player participated in the NBA Summer League from BAL?,factoid,The Egyptian player who participated in the NBA Summer League from the Basketball Africa League (BAL) is Omar Abdal-Fattah. He played for the Zamalek SC team in the BAL before joining the Summer League.,Anas Mahmoud,1,0,0.0,0.1,N/A,bal_linking_african_teams_nba_summary.txt,No Retrieval,True
None_gpt4omini,52,On what dates was BAL's first scouting combine held?,factoid,"The Basketball Africa League (BAL) held its first scouting combine from October 6 to October 10, 2021.","December 4-5, 2019",1,0,0.0,0.1,N/A,bal_first_scouting_combine_summary.txt,No Retrieval,True
None_gpt4omini,53,In what year was WINGSPAN Scouting founded?,factoid,WINGSPAN Scouting was founded in 2015.,2023,1,0,0.0,0.1,N/A,africabasket_wingspan_partnership_summary.txt,No Retrieval,True
None_gpt4omini,54,List three teams that have won the BAL championship since its inaugural season in 2021.,list,"As of October 2023, the three teams that have won the Basketball Africa League (BAL) championship since its inaugural season in 2021 are:

1. **Zamalek (Egypt)** - 2021
2. **US Monastir (Tunisia)** - 2022
3. **Al Ahly (Egypt)** - 2023",Zamalek,4,0,0.054054054054054,0.427027027027027,N/A,basketball_africa_league.txt,No Retrieval,True
None_gpt4omini,55,Name three African national teams that have been dominant in AfroBasket history.,list,"Three African national teams that have been dominant in AfroBasket history are:

1. **Egypt** - They have won the tournament multiple times and are one of the most successful teams in AfroBasket history.
2. **Nigeria** - Nigeria has also been a strong contender, winning the tournament and consistently performing well in recent years.
3. **Angola** - Angola has a rich history in AfroBasket, having secured several championships and being a powerhouse in African basketball.",Angola,5,0,0.0363636363636363,0.5181818181818182,N/A,fiba_africa_history.txt,No Retrieval,True
None_gpt4omini,56,Name two sports introduced by European colonial authorities.,list,Two sports introduced by European colonial authorities in Africa are soccer (football) and cricket.,Cricket,5,0,0.1333333333333333,0.5666666666666667,N/A,colonial_history_sport.txt,No Retrieval,True
None_gpt4omini,57,List two barriers that historically restricted women's participation in basketball in Africa.,list,"1. **Cultural Norms and Gender Stereotypes**: Traditional beliefs and societal expectations often view sports, including basketball, as male-dominated activities, leading to limited opportunities and support for women in sports.

2. **Lack of Resources and Infrastructure**: Many regions in Africa face inadequate facilities, funding, and training programs for women's sports, which hinders their participation and development in basketball.",Cultural barriers,5,0,0.0,0.5,N/A,womens_basketball_africa.txt,No Retrieval,True
None_gpt4omini,58,Name two emerging basketball nations mentioned as pushing for greater representation.,list,Two emerging basketball nations that have been mentioned as pushing for greater representation are Nigeria and Senegal.,Nigeria,5,0,0.1111111111111111,0.5555555555555556,N/A,africabasket_two_countries.txt,No Retrieval,True
None_gpt4omini,59,List two global competitions that AfroBasket serves as a qualifier for.,list,AfroBasket serves as a qualifier for the FIBA Basketball World Cup and the Olympic Games.,FIBA World Cup,5,0,0.3529411764705882,0.6764705882352942,N/A,afrobasket_summary.txt,No Retrieval,True
None_gpt4omini,60,Name two prominent African NBA players mentioned who inspire future generations.,list,Two prominent African NBA players who inspire future generations are Hakeem Olajuwon from Nigeria and Serge Ibaka from the Republic of the Congo.,Joel Embiid,3,0,0.0,0.3,N/A,rise_of_african_basketball.txt,No Retrieval,True
None_gpt4omini,61,"List three key themes mentioned in the key points section of the book ""Sport and Apartheid South Africa"" ..",list,"The three key themes mentioned in the book ""Sport and Apartheid South Africa"" are:

1. **Political Resistance**: The role of sports as a platform for political expression and resistance against the apartheid regime.
2. **Identity and Nationalism**: How sports were used to forge national identity and unity among different racial groups in South Africa.
3. **International Isolation**: The impact of international sports boycotts and sanctions on South Africa during apartheid, highlighting the global response to the country's racial policies.",Sport as a tool of governance and assimilation,3,0,0.1176470588235294,0.3588235294117647,N/A,colonialism_sport_book_summary.txt,No Retrieval,True
None_gpt4omini,62,List three social impacts of basketball in Africa.,list,"1. **Youth Empowerment**: Basketball provides young people with opportunities for personal development, leadership skills, and teamwork, helping to build confidence and discipline.

2. **Community Cohesion**: Basketball fosters social interaction and unity within communities, bringing together individuals from diverse backgrounds and promoting inclusivity.

3. **Health and Wellness**: Participation in basketball encourages physical activity, contributing to improved health outcomes and awareness of fitness and nutrition among players and communities.",Education,4,0,0.0,0.4,N/A,rise_and_rise_african_basketball.txt,No Retrieval,True
None_gpt4omini,63,List two objectives of the Basketball Without Borders camp in East Africa.,list,"Two objectives of the Basketball Without Borders camp in East Africa are:

1. **Player Development**: To enhance the skills and knowledge of young basketball players through coaching from experienced trainers and players, focusing on both on-court skills and off-court life skills.

2. **Community Engagement**: To promote basketball as a tool for social change, fostering connections among youth from different backgrounds and encouraging values such as teamwork, leadership, and respect within the community.",Skill development,4,0,0.0327868852459016,0.4163934426229508,N/A,bwb_east_africa_summary.txt,No Retrieval,True
None_gpt4omini,64,List three individual NBA awards or honors Hakeem Olajuwon won during his career.,list,"Hakeem Olajuwon won several individual NBA awards during his career, including:

1. NBA Most Valuable Player (MVP) in 1994.
2. NBA Finals MVP in 1994 and 1995.
3. NBA All-Star Game MVP in 1995.",NBA MVP (1994),5,0,0.1333333333333333,0.5666666666666667,N/A,hakeem_olajuwon_summary.txt,No Retrieval,True
None_gpt4omini,65,List two achievements Joel Embiid has earned in the NBA.,list,"Joel Embiid has earned several achievements in the NBA, including:

1. **NBA All-Star selections**: Embiid has been selected as an NBA All-Star multiple times, showcasing his status as one of the league's top players.
2. **NBA scoring champion**: He won the NBA scoring title for the 2021-2022 season, leading the league in points per game.",NBA MVP (2023),4,0,0.0444444444444444,0.4222222222222222,N/A,joel_embiid_summary.txt,No Retrieval,True
None_gpt4omini,66,List three areas of focus for Dikembe Mutombo's humanitarian work.,list,"Dikembe Mutombo's humanitarian work primarily focuses on the following three areas:

1. **Health Care**: Mutombo has been involved in improving health care access in the Democratic Republic of the Congo, including the construction of the Biamba Marie Mutombo Hospital in Kinshasa.

2. **Education**: He emphasizes the importance of education and has supported various initiatives to provide educational opportunities for children in Africa.

3. **Economic Development**: Mutombo works on projects aimed at fostering economic development and empowerment within communities, particularly through entrepreneurship and job creation initiatives.",Healthcare,4,0,0.0289855072463768,0.41449275362318844,N/A,dikembe_mutombo_summary.txt,No Retrieval,True
None_gpt4omini,67,List two NBA honors Pascal Siakam has received.,list,"Pascal Siakam has received the following two NBA honors:

1. NBA Most Improved Player (2019)
2. NBA All-Star (2021)",NBA Champion (2019),4,0,0.4545454545454545,0.6272727272727272,N/A,pascal_siakam_summary.txt,No Retrieval,True
None_gpt4omini,68,List two ways basketball impacts South Sudan society.,list,"1. **Youth Development and Empowerment**: Basketball provides a constructive outlet for South Sudanese youth, promoting teamwork, discipline, and leadership skills. It helps in diverting them from negative influences and offers opportunities for scholarships and professional careers.

2. **Social Cohesion and Peacebuilding**: Basketball serves as a unifying force in a country with a history of conflict. It brings together individuals from diverse backgrounds, fostering community engagement and promoting peace through shared experiences and teamwork.",Promoting peace,5,0,0.0666666666666666,0.5333333333333333,N/A,luol_deng_south_sudan_summary.txt,No Retrieval,True
None_gpt4omini,69,List two impacts of Gab Gre Lasme's success on African basketball.,list,"1. **Inspiration for Young Athletes**: Gab Gre Lasme's success serves as a role model for aspiring basketball players in Africa, demonstrating that it is possible to achieve international recognition and success through dedication and hard work. This can motivate young athletes to pursue their basketball dreams and improve their skills.

2. **Increased Visibility for African Talent**: His achievements help to highlight the potential of African players on the global stage, attracting attention from scouts, coaches, and teams in international leagues. This can lead to more opportunities for African players and increased investment in basketball development programs across the continent.",Inspires young African athletes,4,0,0.0779220779220779,0.438961038961039,N/A,gab_gre_lasme_summary.txt,No Retrieval,True
None_gpt4omini,70,List three major NBA achievements Giannis Antetokounmpo has earned.,list,"Giannis Antetokounmpo has achieved several major accomplishments in the NBA, including:

1. **NBA Championship**: He led the Milwaukee Bucks to an NBA Championship in 2021, their first title in 50 years.
2. **NBA Most Valuable Player (MVP)**: Giannis won the MVP award in back-to-back seasons, in 2019 and 2020.
3. **NBA Finals MVP**: He was named the NBA Finals MVP in 2021 for his outstanding performance in the Finals, where he averaged 35.2 points, 13.2 rebounds, and 5.0 assists per game.","NBA MVP (2019, 2020)",5,0,0.1176470588235294,0.5588235294117647,N/A,giannis_antetokounmpo_summary.txt,No Retrieval,True
None_gpt4omini,71,List two areas where Serge Ibaka has focused his philanthropic efforts.,list,"Serge Ibaka has focused his philanthropic efforts primarily in the following two areas:

1. **Education**: Ibaka has been involved in initiatives aimed at improving educational opportunities for children, particularly in Africa. He has supported programs that provide school supplies, scholarships, and resources to help students succeed.

2. **Health and Nutrition**: Ibaka has also worked on projects that promote health and nutrition, particularly for children. He has been involved in campaigns to raise awareness about healthy eating and has supported initiatives that provide access to nutritious food in underprivileged communities.",Education initiatives in Congo,5,0,0.0895522388059701,0.5447761194029851,N/A,serge_ibaka_summary.txt,No Retrieval,True
None_gpt4omini,72,List three African countries mentioned as having female basketball players making global waves.,list,"Three African countries known for having female basketball players making global waves are:

1. Nigeria
2. Senegal
3. Mali",Nigeria,5,0,0.1,0.55,N/A,top_african_female_players_summary.txt,No Retrieval,True
None_gpt4omini,73,List two objectives of FIBA Africa's youth development programs.,list,"Two objectives of FIBA Africa's youth development programs are:

1. **Talent Identification and Development**: To identify and nurture young basketball talent across the continent, providing them with the necessary skills and training to excel in the sport.

2. **Promotion of Basketball Participation**: To increase participation in basketball among youth, fostering a love for the game and encouraging physical activity, teamwork, and discipline through organized competitions and training camps.",Empower young athletes,3,0,0.0357142857142857,0.31785714285714284,N/A,fiba_africa_youth_development.txt,No Retrieval,True
None_gpt4omini,74,List two objectives of the proposed African development league.,list,"Two objectives of the proposed African Development League are:

1. **Enhancing Talent Development**: The league aims to provide a platform for young African basketball players to develop their skills and gain exposure, ultimately improving the overall quality of basketball on the continent.

2. **Increasing Competitive Opportunities**: The league seeks to create more competitive opportunities for teams across Africa, fostering regional rivalries and elevating the level of play, which can help in the identification and nurturing of talent.",Nurturing young talent,4,0,0.1,0.45,N/A,nba_fiba_african_dev_league.txt,No Retrieval,True
None_gpt4omini,75,List three teams that compete in the Nigerian Premier League.,list,"Three teams that compete in the Nigerian Premier League are:

1. Enyimba International FC
2. Kano Pillars FC
3. Rangers International FC",Kano Pillars,3,0,0.1904761904761905,0.3952380952380952,N/A,nigerian_premier_league_summary.txt,No Retrieval,True
None_gpt4omini,76,List three social impacts of the Women's Basketball League Africa.,list,"The Women's Basketball League Africa (WBLA) has several social impacts, including:

1. **Empowerment of Women**: The league provides a platform for female athletes to showcase their talent, promoting gender equality and empowering women in sports and society.

2. **Community Engagement**: The league fosters community involvement by encouraging local support for teams, which can lead to increased participation in sports and physical activities among young girls and women.

3. **Role Models and Inspiration**: By highlighting successful female athletes, the WBLA creates role models for young girls, inspiring them to pursue sports and education, and challenging societal norms regarding women's roles.",Empowers female athletes,5,0,0.050632911392405,0.5253164556962024,N/A,womens_basketball_league_africa.txt,No Retrieval,True
None_gpt4omini,77,List three teams that compete in South Africa's Basketball National League.,list,"Three teams that compete in South Africa's Basketball National League are:

1. Cape Town Tigers
2. Durban Heat
3. Johannesburg Warriors",Soweto Panthers,1,0,0.0,0.1,N/A,basketball_national_league_summary.txt,No Retrieval,True
