system,question_idx,rank,question,question_type,prediction,gold_answer,llm_score,f1_score,combined_score,retrieved_docs,correct_doc,failure_type
None_gpt4omini,108,15,Which city serves as the headquarters of FIBA Africa? A) Lagos B) Cairo C) Abidjan D) Nairobi,multiple choice,B) Cairo,C) Abidjan,1,0.0,0.1,N/A,fiba_africa_history.txt,No Retrieval
None_gpt4omini,122,16,What European competition is highlighted in relation to Gab Gre Lasme's performance? A) Champions League B) EuroLeague Top 16 C) EuroCup D) Basketball Champions League,multiple choice,Gab Gre Lasme's performance is highlighted in relation to the Basketball Champions League.,B) EuroLeague Top 16,1,0.0,0.1,N/A,gab_gre_lasme_summary.txt,No Retrieval
None_gpt4omini,134,17,How many countries confirmed participation in the 5th Afro Varsity 3x3 Challenge? A) Three B) Five C) Eight D) Fourteen,multiple choice,C) Eight,B) Five,1,0.0,0.1,N/A,afro_varsity_3x3_challenge_summary.txt,No Retrieval
None_gpt4omini,136,18,"Which countries are in FIBA Africa Zone 1? A) Nigeria, Ghana, Togo B) Algeria, Libya, Morocco, Tunisia C) Kenya, Rwanda, Uganda D) Angola, South Africa, Zambia",multiple choice,"A) Nigeria, Ghana, Togo are in FIBA Africa Zone 1.","B) Algeria, Libya, Morocco, Tunisia",1,0.0,0.1,N/A,fiba_africa_sub_zones_summary.txt,No Retrieval
None_gpt4omini,137,19,Which country won the men's 3x3 basketball gold medal at the 2023 African Games? A) Madagascar B) Egypt C) Algeria D) Nigeria,multiple choice,B) Egypt won the men's 3x3 basketball gold medal at the 2023 African Games.,C) Algeria,1,0.0,0.1,N/A,african_games_3x3_basketball_summary.txt,No Retrieval
None_gpt4omini,140,20,"How many additional basketball courts does Rwanda's Ministry of Sports acknowledge are needed nationwide? A) 500 B) 1,000 C) 2,000 D) 3,000",multiple choice,"Rwanda's Ministry of Sports acknowledges that an additional 1,000 basketball courts are needed nationwide. So the answer is B) 1,000.","C) 2,000",1,0.0,0.1,N/A,basketball_africa_infrastructure_summary.txt,No Retrieval
Azure_gpt4omini,8,1,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,"The provided context does not contain information about a book titled ""Sport and Apartheid South Africa"" or its associated publisher.",Routledge,1,0.0,0.1,"colonialism_sport_book_summary.txt, basketball_national_league_summary.txt, colonial_history_sport.txt",colonialism_sport_book_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,34,2,Which organization established Club Rafiki in Kigali in 2022?,factoid,The context does not provide information about the organization that established Club Rafiki in Kigali in 2022.,Giants of Africa,1,0.0,0.1,"bal_rdb_multi_year_extension_summary.txt, giants_of_africa_2025_kigali_summary.txt, nba_africa_opportunity_courts_summary.txt",basketball_africa_infrastructure_summary.txt,Bad Retrieval (wrong docs retrieved)
Azure_gpt4omini,146,3,"What is the average seating capacity of venues where BAL teams played? A) 2,500 B) 4,600 C) 7,000 D) 10,000",multiple choice,"To calculate the average seating capacity of the mentioned venues:

1. Kigali Arena: 10,000
2. Cairo Stadium Indoor Halls Complex: 16,000
3. Dakar Arena: 15,000
4. Arena Kilamba: 13,000
5. Salle Omnis...","B) 4,600",1,0.0,0.1,"africas_flashy_basketball_arenas_summary.txt, bal_global_investment_summary.txt, basketball_africa_league.txt",investing_in_bal_private_investment_summary.txt,Bad Retrieval (wrong docs retrieved)
Azure_gpt4omini,151,4,"How many youth did NBA Africa reach through development programs last year? A) 150,000 B) 250,000 C) 350,000 D) 500,000",multiple choice,"A) 150,000","C) 350,000",1,0.0,0.1,"fiba_africa_youth_development.txt, nba_africa_opportunity_international_summary.txt, fiba_africa_youth_competitions_summary.txt",nba_africa_opportunity_courts_summary.txt,Bad Retrieval (wrong docs retrieved)
Azure_gpt4omini,61,5,"List three key themes mentioned in the key points section of the book ""Sport and Apartheid South Africa"" ..",list,"The provided context does not contain information about the book ""Sport and Apartheid South Africa"" or its key themes. Therefore, I cannot provide an answer to your question.",Sport as a tool of governance and assimilation,1,0.0625,0.13125,"colonial_history_sport.txt, colonialism_sport_book_summary.txt, sports_limitations_addressing_sdgs_summary.txt",colonialism_sport_book_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,156,6,What age group is targeted by the STEM sports curriculum for girls? A) 10 and under B) 12 and under C) 14 and under D) 16 and under,multiple choice,"The provided context does not contain information about a STEM sports curriculum for girls or the specific age group it targets. Therefore, I cannot answer the question.",C) 14 and under,2,0.0,0.2,"youth_development_basketball_summary.txt, fiba_africa_youth_competitions_summary.txt, disability_barriers_in_sports_summary.txt",bal_gender_equality_initiatives_summary.txt,Bad Retrieval (wrong docs retrieved)
Azure_gpt4omini,87,7,List two challenges mentioned regarding basketball infrastructure in Africa.,list,"Two challenges regarding basketball infrastructure in Africa are:

1. Shortage of modern basketball courts and training facilities.
2. Limited financial resources for grassroots programs and talent de...",Scarcity of indoor courts,3,0.1379310344827586,0.36896551724137927,"basketball_africa_infrastructure_summary.txt, africas_flashy_basketball_arenas_summary.txt, basketball_africa_societal_impact_summary.txt",basketball_africa_infrastructure_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,54,8,List three teams that have won the BAL championship since its inaugural season in 2021.,list,"The three teams that have won the BAL championship since its inaugural season in 2021 are:

1. Zamalek (2021)
2. US Monastir (2022)
3. Al Ahly (2023)",Zamalek,3,0.1428571428571428,0.3714285714285714,"basketball_africa_league.txt, bal_linking_african_teams_nba_summary.txt, bal_global_investment_summary.txt",basketball_africa_league.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,55,9,Name three African national teams that have been dominant in AfroBasket history.,list,"The three African national teams that have been dominant in AfroBasket history are Angola, Nigeria, and Tunisia.",Angola,4,0.0,0.4,"afrobasket_summary.txt, african_games_3x3_basketball_summary.txt, fiba_africa_history.txt",fiba_africa_history.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,66,10,List three areas of focus for Dikembe Mutombo's humanitarian work.,list,"Dikembe Mutombo's humanitarian work focuses on healthcare, education, and economic development initiatives.",Healthcare,4,0.0,0.4,"dikembe_mutombo_summary.txt, nba_africa_opportunity_courts_summary.txt, luol_deng_south_sudan_summary.txt",dikembe_mutombo_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,62,11,List three social impacts of basketball in Africa.,list,"1. Education and Empowerment: Basketball serves as a tool for education and empowerment, providing young athletes with opportunities for personal and professional development.

2. Gender Equality: Pro...",Education,4,0.0727272727272727,0.4363636363636364,"basketball_influence_africa_summary.txt, rise_of_african_basketball.txt, basketball_africa_societal_impact_summary.txt",rise_and_rise_african_basketball.txt,Bad Retrieval (wrong docs retrieved)
Azure_gpt4omini,63,12,List two objectives of the Basketball Without Borders camp in East Africa.,list,"1. Focus on skill development, leadership, and community engagement.
2. Empower youth and promote gender equality in the region.",Skill development,4,0.0999999999999999,0.44999999999999996,"bwb_east_africa_summary.txt, giants_of_africa_camps_summary.txt, nba_africa_opportunity_international_summary.txt",bwb_east_africa_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,64,13,List three individual NBA awards or honors Hakeem Olajuwon won during his career.,list,"Hakeem Olajuwon won the following individual NBA awards or honors during his career:

1. NBA Most Valuable Player (1994)
2. Two-time NBA Champion (1994, 1995)
3. 12-time NBA All-Star",NBA MVP (1994),4,0.1379310344827586,0.4689655172413793,"hakeem_olajuwon_summary.txt, joel_embiid_summary.txt, pascal_siakam_summary.txt",hakeem_olajuwon_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,13,14,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,factoid,Dikembe Mutombo won the NBA Defensive Player of the Year award four times.,4,5,0.0,0.5,"dikembe_mutombo_summary.txt, joel_embiid_summary.txt, serge_ibaka_summary.txt",dikembe_mutombo_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,17,15,How many times has Giannis Antetokounmpo won the NBA MVP award?,factoid,"Giannis Antetokounmpo has won the NBA MVP award two times (2019, 2020).",2,5,0.0,0.5,"giannis_antetokounmpo_summary.txt, joel_embiid_summary.txt, hakeem_olajuwon_summary.txt",giannis_antetokounmpo_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,27,16,How many youth competition categories does FIBA Africa organize?,factoid,"FIBA Africa organizes four youth competition categories: FIBA U16 AfroBasket (Boys), FIBA U16 Women’s AfroBasket, FIBA U18 AfroBasket (Boys), and FIBA U18 Women’s AfroBasket.",4,5,0.0,0.5,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",fiba_africa_youth_competitions_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,30,17,How many sub-zones does FIBA Africa organize its national federations into?,factoid,FIBA Africa organizes its national federations into seven sub-zones.,7,5,0.0,0.5,"fiba_africa_sub_zones_summary.txt, fiba_africa_youth_competitions_summary.txt, fiba_africa_history.txt",fiba_africa_sub_zones_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,46,18,What is the duration of ESPN Africa's broadcast agreement with FIBA?,factoid,The duration of ESPN Africa's broadcast agreement with FIBA is from 2025 to 2029.,2025-2029,5,0.0,0.5,"espn_africa_fiba_broadcast_deal_summary.txt, fiba_africa_history.txt, afrobasket_summary.txt",espn_africa_fiba_broadcast_deal_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,69,19,List two impacts of Gab Gre Lasme's success on African basketball.,list,"1. Gab Gre Lasme's success inspires young African athletes to pursue careers in international basketball, promoting cross-cultural exchange and opportunities.

2. His performance in the EuroLeague hig...",Inspires young African athletes,4,0.1999999999999999,0.5,"gab_gre_lasme_summary.txt, rise_of_african_basketball.txt, rise_and_rise_african_basketball.txt",gab_gre_lasme_summary.txt,Bad Generation (right docs retrieved)
Azure_gpt4omini,101,20,List three impact areas of the BAL and AFD partnership.,list,"The three impact areas of the BAL and AFD partnership are:

1. Education: Integrating basketball programs with educational initiatives.
2. Gender Equality: Empowering women and girls through BAL4HER a...",Education,5,0.048780487804878,0.524390243902439,"bal_afd_education_inclusion_summary.txt, bal_linking_african_teams_nba_summary.txt, bal_rdb_multi_year_extension_summary.txt",bal_afd_education_inclusion_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,8,1,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,"The provided context does not contain information about ""Sport and Apartheid South Africa"" or its associated publisher.",Routledge,1,0.0,0.1,"rise_and_rise_african_basketball.txt, basketball_national_league_summary.txt, colonialism_sport_book_summary.txt",colonialism_sport_book_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,151,2,"How many youth did NBA Africa reach through development programs last year? A) 150,000 B) 250,000 C) 350,000 D) 500,000",multiple choice,"A) 150,000","C) 350,000",1,0.0,0.1,"fiba_africa_youth_development.txt, nba_africa_opportunity_international_summary.txt, fiba_africa_youth_competitions_summary.txt",nba_africa_opportunity_courts_summary.txt,Bad Retrieval (wrong docs retrieved)
Local_gpt4omini,156,3,What age group is targeted by the STEM sports curriculum for girls? A) 10 and under B) 12 and under C) 14 and under D) 16 and under,multiple choice,ERROR: 'NoneType' object has no attribute 'strip',C) 14 and under,1,0.0,0.1,"bal_gender_equality_initiatives_summary.txt, youth_development_basketball_summary.txt, bal_afd_education_inclusion_summary.txt",bal_gender_equality_initiatives_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,157,4,What is the name of BAL's climate action program? A) BAL Clean B) BAL Green C) BAL Earth D) BAL Climate,multiple choice,"The context does not provide information about a climate action program for the Basketball Africa League (BAL). Therefore, I cannot determine the name of such a program.",B) BAL Green,1,0.0,0.1,"bal_rdb_multi_year_extension_summary.txt, bal_global_investment_summary.txt, investing_in_bal_private_investment_summary.txt",bal_linking_african_teams_nba_summary.txt,Bad Retrieval (wrong docs retrieved)
Local_gpt4omini,1,5,Who is the current commissioner of the Basketball Africa League?,factoid,The provided context does not contain information about the current commissioner of the Basketball Africa League.,Amadou Gallo Fall,2,0.0,0.2,"bal_linking_african_teams_nba_summary.txt, bal_africa_sports_economy_summary.txt, bal_first_scouting_combine_summary.txt",basketball_africa_league.txt,Bad Retrieval (wrong docs retrieved)
Local_gpt4omini,79,6,List three existing partners of the Basketball Africa League mentioned.,list,"Three existing partners of the Basketball Africa League mentioned are NIKE, Wilson, and Hennessy.",Rwanda Development Board,2,0.0,0.2,"bal_partners_playoffs_finals_summary.txt, nba_fiba_african_dev_league.txt, bal_linking_african_teams_nba_summary.txt",bal_partners_playoffs_finals_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,104,7,List two social impact initiatives mentioned for the Basketball Africa League.,list,"1. Anti-Violence Campaigns: Educational workshops and participation in campaigns to combat gender-based violence.
2. STEM Curriculum: Development of a Science, Technology, Engineering, and Mathematics...",BAL4HER (Gender Equality Initiatives),2,0.0,0.2,"rise_and_rise_african_basketball.txt, rise_of_african_basketball.txt, bal_gender_equality_initiatives_summary.txt",bal_linking_african_teams_nba_summary.txt,Bad Retrieval (wrong docs retrieved)
Local_gpt4omini,61,8,"List three key themes mentioned in the key points section of the book ""Sport and Apartheid South Africa"" ..",list,"The provided context does not contain information about the book ""Sport and Apartheid South Africa"" or its key themes. Therefore, I cannot provide an answer to your question.",Sport as a tool of governance and assimilation,2,0.0625,0.23125,"colonialism_sport_book_summary.txt, colonial_history_sport.txt, bal_afd_education_inclusion_summary.txt",colonialism_sport_book_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,54,9,List three teams that have won the BAL championship since its inaugural season in 2021.,list,"The three teams that have won the BAL championship since its inaugural season in 2021 are:

1. Zamalek (2021)
2. US Monastir (2022)
3. Al Ahly (2023)",Zamalek,3,0.1428571428571428,0.3714285714285714,"basketball_africa_league.txt, top_10_african_basketball_clubs_summary.txt, basketball_africa_societal_impact_summary.txt",basketball_africa_league.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,55,10,Name three African national teams that have been dominant in AfroBasket history.,list,"The three African national teams that have been dominant in AfroBasket history are Angola, Nigeria, and Tunisia.",Angola,4,0.0,0.4,"african_games_3x3_basketball_summary.txt, afrobasket_summary.txt, top_10_african_basketball_clubs_summary.txt",fiba_africa_history.txt,Bad Retrieval (wrong docs retrieved)
Local_gpt4omini,66,11,List three areas of focus for Dikembe Mutombo's humanitarian work.,list,"Dikembe Mutombo's humanitarian work focuses on healthcare, education, and economic development initiatives.",Healthcare,4,0.0,0.4,"dikembe_mutombo_summary.txt, luol_deng_south_sudan_summary.txt, bal_global_investment_summary.txt",dikembe_mutombo_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,96,12,List three challenges facing basketball development in Africa.,list,"1. Lack of Infrastructure: Many countries in Africa struggle with inadequate sports facilities and resources necessary for training and competition.

2. Limited Funding and Investment: There is often ...",Infrastructure shortage,4,0.0727272727272727,0.4363636363636364,"africabasket_two_countries.txt, rise_and_rise_african_basketball.txt, luol_deng_south_sudan_summary.txt",basketball_africa_societal_impact_summary.txt,Bad Retrieval (wrong docs retrieved)
Local_gpt4omini,62,13,List three social impacts of basketball in Africa.,list,"1. Education and Empowerment: Basketball serves as a tool for education, providing young athletes with opportunities for personal and professional development.

2. Gender Equality: Initiatives in bask...",Education,4,0.0799999999999999,0.43999999999999995,"rise_and_rise_african_basketball.txt, rise_of_african_basketball.txt, luol_deng_south_sudan_summary.txt",rise_and_rise_african_basketball.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,64,14,List three individual NBA awards or honors Hakeem Olajuwon won during his career.,list,"Hakeem Olajuwon won the following individual NBA awards or honors during his career:

1. NBA Most Valuable Player (1994)
2. Two-time NBA Champion (1994, 1995)
3. 12-time NBA All-Star",NBA MVP (1994),4,0.1379310344827586,0.4689655172413793,"hakeem_olajuwon_summary.txt, giannis_antetokounmpo_summary.txt, pascal_siakam_summary.txt",hakeem_olajuwon_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,13,15,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,factoid,Dikembe Mutombo won the NBA Defensive Player of the Year award four times.,4,5,0.0,0.5,"dikembe_mutombo_summary.txt, hakeem_olajuwon_summary.txt, joel_embiid_summary.txt",dikembe_mutombo_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,17,16,How many times has Giannis Antetokounmpo won the NBA MVP award?,factoid,"Giannis Antetokounmpo has won the NBA MVP award two times (2019, 2020).",2,5,0.0,0.5,"giannis_antetokounmpo_summary.txt, hakeem_olajuwon_summary.txt, joel_embiid_summary.txt",giannis_antetokounmpo_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,27,17,How many youth competition categories does FIBA Africa organize?,factoid,"FIBA Africa organizes four youth competition categories: FIBA U16 AfroBasket (Boys), FIBA U16 Women’s AfroBasket, FIBA U18 AfroBasket (Boys), and FIBA U18 Women’s AfroBasket.",4,5,0.0,0.5,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_history.txt",fiba_africa_youth_competitions_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,30,18,How many sub-zones does FIBA Africa organize its national federations into?,factoid,FIBA Africa organizes its national federations into seven sub-zones.,7,5,0.0,0.5,"fiba_africa_sub_zones_summary.txt, fiba_africa_history.txt, afrobasket_summary.txt",fiba_africa_sub_zones_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,46,19,What is the duration of ESPN Africa's broadcast agreement with FIBA?,factoid,The duration of ESPN Africa's broadcast agreement with FIBA is from 2025 to 2029.,2025-2029,5,0.0,0.5,"espn_africa_fiba_broadcast_deal_summary.txt, bal_africa_sports_economy_summary.txt, afrobasket_summary.txt",espn_africa_fiba_broadcast_deal_summary.txt,Bad Generation (right docs retrieved)
Local_gpt4omini,88,20,List three activities featured at the Giants of Africa 2025 Festival.,list,"Three activities featured at the Giants of Africa 2025 Festival are:

1. Basketball Tournament: Round-robin games leading to Championship and All-Star matches.
2. Training Clinics: NBA and WNBA coache...",Basketball Tournament,5,0.0465116279069767,0.5232558139534883,"giants_of_africa_2025_kigali_summary.txt, african_games_3x3_basketball_summary.txt, giants_of_africa_camps_summary.txt",giants_of_africa_2025_kigali_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,2,1,In what year was FIBA Africa established?,factoid,FIBA Africa - Youth Development Initiatives,1961,1,0.0,0.1,"fiba_africa_history.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",fiba_africa_history.txt,Bad Generation (right docs retrieved)
Azure_flant5,7,2,What role do international partnerships play in the rise of African basketball?,factoid,Basketball in Africa,"They provide infrastructure, investment, and global visibility",1,0.0,0.1,"rise_of_african_basketball.txt, rise_and_rise_african_basketball.txt, nba_africa_opportunity_international_summary.txt",rise_of_african_basketball.txt,Bad Generation (right docs retrieved)
Azure_flant5,8,3,"What publisher is associated with ""Sport and Apartheid South Africa""?",factoid,"The Basketball National League (BNL) is South Africa’s premier professional basketball league, established to develop and promote the sport nationally.",Routledge,1,0.0,0.1,"colonialism_sport_book_summary.txt, basketball_national_league_summary.txt, colonial_history_sport.txt",colonialism_sport_book_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,11,4,In what year was Hakeem Olajuwon drafted first overall in the NBA Draft?,factoid,Joel Embiid.,1984,1,0.0,0.1,"hakeem_olajuwon_summary.txt, joel_embiid_summary.txt, fiba_africa_history.txt",hakeem_olajuwon_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,12,5,At what age was Joel Embiid introduced to basketball?,factoid,Title: Hakeem Olajuwon - Nigerian-American Basketball Legend,15,1,0.0,0.1,"joel_embiid_summary.txt, hakeem_olajuwon_summary.txt, rise_and_rise_african_basketball.txt",joel_embiid_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,13,6,How many times did Dikembe Mutombo win the NBA Defensive Player of the Year award?,factoid,Title: Joel Embiid – From Cameroon to NBA MVP,4,1,0.0,0.1,"dikembe_mutombo_summary.txt, joel_embiid_summary.txt, serge_ibaka_summary.txt",dikembe_mutombo_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,14,7,In what year did Pascal Siakam win the NBA Championship?,factoid,The article focuses on Serge Ibaka’s journey from the Republic of Congo to becoming an NBA champion and Olympic medalist.,2019,1,0.0,0.1,"pascal_siakam_summary.txt, serge_ibaka_summary.txt, hakeem_olajuwon_summary.txt",pascal_siakam_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,16,8,Which country is Gab Gre Lasme originally from?,factoid,Title: Youzou Elite Basketball League Source: AfricaBasket URL: https://www.africabasket.net/leagues/youzou-elite-basketball,Gabon,1,0.0,0.1,"gab_gre_lasme_summary.txt, youzou_elite_basketball_summary.txt, fiba_africa_sub_zones_summary.txt",gab_gre_lasme_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,17,9,How many times has Giannis Antetokounmpo won the NBA MVP award?,factoid,URL: https://www.nba.com,2,1,0.0,0.1,"giannis_antetokounmpo_summary.txt, joel_embiid_summary.txt, hakeem_olajuwon_summary.txt",giannis_antetokounmpo_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,18,10,In what year did Serge Ibaka win the NBA Championship?,factoid,Source: Critiqsite URL: https://critiqsite.com/pascal-siakam-underrated-nba-cameroonian-star/,2019,1,0.0,0.1,"serge_ibaka_summary.txt, pascal_siakam_summary.txt, hakeem_olajuwon_summary.txt",serge_ibaka_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,20,11,What age groups do FIBA Africa's youth championships target?,factoid,Youth Development Initiatives,U16 and U18,1,0.0,0.1,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",fiba_africa_youth_development.txt,Bad Generation (right docs retrieved)
Azure_flant5,27,12,How many youth competition categories does FIBA Africa organize?,factoid,Youth Development Initiatives,4,1,0.0,0.1,"fiba_africa_youth_competitions_summary.txt, fiba_africa_youth_development.txt, fiba_africa_sub_zones_summary.txt",fiba_africa_youth_competitions_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,29,13,Which NCAA Division I school did Jana El Alfy enroll at?,factoid,The 5th Afro Varsity 3x3 Basketball Challenge,UConn,1,0.0,0.1,"nba_academy_bal_us_college_summary.txt, afro_varsity_3x3_challenge_summary.txt, womens_basketball_league_africa.txt",nba_academy_bal_us_college_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,30,14,How many sub-zones does FIBA Africa organize its national federations into?,factoid,FIBA Africa Youth Competitions,7,1,0.0,0.1,"fiba_africa_sub_zones_summary.txt, fiba_africa_youth_competitions_summary.txt, fiba_africa_history.txt",fiba_africa_sub_zones_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,31,15,In what year did 3x3 basketball become an official discipline of the African Games?,factoid,5th Afro Varsity 3x3 Basketball Challenge,2019,1,0.0,0.1,"african_games_3x3_basketball_summary.txt, afro_varsity_3x3_challenge_summary.txt, afrobasket_summary.txt",african_games_3x3_basketball_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,32,16,In what year did Giants of Africa begin hosting basketball camps?,factoid,The relevant information to answer the above question is: Giants of Africa 2025: Kigali Awaits as New Generation Arise,2003,1,0.0,0.1,"giants_of_africa_camps_summary.txt, giants_of_africa_2025_kigali_summary.txt, bwb_east_africa_summary.txt",giants_of_africa_camps_summary.txt,Bad Generation (right docs retrieved)
Azure_flant5,33,17,How many countries and territories can access BAL broadcasts?,factoid,"The Basketball Africa League (BAL) is the premier men's club basketball league in Africa, co-organized by NBA Africa and FIBA.",214,1,0.0,0.1,"basketball_africa_league.txt, bal_partners_playoffs_finals_summary.txt, bal_africa_sports_economy_summary.txt",bal_global_investment_summary.txt,Bad Retrieval (wrong docs retrieved)
Azure_flant5,34,18,Which organization established Club Rafiki in Kigali in 2022?,factoid,Kigali Awaits as New Generation Arise,Giants of Africa,1,0.0,0.1,"bal_rdb_multi_year_extension_summary.txt, giants_of_africa_2025_kigali_summary.txt, nba_africa_opportunity_courts_summary.txt",basketball_africa_infrastructure_summary.txt,Bad Retrieval (wrong docs retrieved)
